○ Video  --vid=1  (h264 1024x576 30 fps 3134 kbps) [default]
○ Video  --vid=2  (h264 1280x720 30 fps 4953 kbps) [default]
○ Video  --vid=3  (h264 1920x1080 30 fps 9915 kbps) [default]
○ Video  --vid=4  (h264 320x180 30 fps 254 kbps) [default]
○ Video  --vid=5  (h264 320x180 30 fps 507 kbps) [default]
○ Video  --vid=6  (h264 480x270 30 fps 760 kbps) [default]
● Video  --vid=7  (h264 640x360 30 fps 1255 kbps) [default]
○ Video  --vid=8  (h264 640x360 30 fps 1013 kbps) [default]
○ Video  --vid=9  (h264 768x432 30 fps 1884 kbps) [default]
○ Video  --vid=10 (h264 3840x2160 30 fps 14932 kbps) [default]
○ Audio  --aid=1  (aac 2ch 48000 Hz 65 kbps) [default]
VO: [wlshm] 640x360 yuv420p
pos=00:00:36 fps=30 decoder_drop=0 vo_drop=93 cache=23.3333
pos=00:00:36 fps=30 decoder_drop=0 vo_drop=93 cache=23.3
pos=00:00:36 fps=30 decoder_drop=0 vo_drop=93 cache=23.2667
pos=00:00:36 fps=30 decoder_drop=0 vo_drop=94 cache=23.3
pos=00:00:36 fps=30 decoder_drop=0 vo_drop=94 cache=23.8667
pos=00:00:36 fps=30 decoder_drop=0 vo_drop=94 cache=25.9
pos=00:00:36 fps=30 decoder_drop=0 vo_drop=95 cache=27.1333
pos=00:00:36 fps=30 decoder_drop=0 vo_drop=95 cache=27.1
pos=00:00:36 fps=30 decoder_drop=0 vo_drop=96 cache=27.0667
pos=00:00:36 fps=30 decoder_drop=0 vo_drop=97 cache=27.0333
pos=00:00:36 fps=30 decoder_drop=0 vo_drop=97 cache=27
pos=00:00:36 fps=30 decoder_drop=0 vo_drop=97 cache=26.9667
pos=00:00:36 fps=30 decoder_drop=0 vo_drop=98 cache=26.9333
pos=00:00:37 fps=30 decoder_drop=0 vo_drop=99 cache=26.9
pos=00:00:37 fps=30 decoder_drop=0 vo_drop=100 cache=26.8667
pos=00:00:37 fps=30 decoder_drop=0 vo_drop=100 cache=26.8333
pos=00:00:37 fps=30 decoder_drop=0 vo_drop=101 cache=26.8
pos=00:00:37 fps=30 decoder_drop=0 vo_drop=101 cache=26.7667
pos=00:00:37 fps=30 decoder_drop=0 vo_drop=102 cache=26.7333
pos=00:00:37 fps=30 decoder_drop=0 vo_drop=103 cache=26.7
pos=00:00:37 fps=30 decoder_drop=0 vo_drop=104 cache=26.6667
pos=00:00:37 fps=30 decoder_drop=0 vo_drop=104 cache=26.6333
pos=00:00:37 fps=30 decoder_drop=0 vo_drop=105 cache=26.6
pos=00:00:37 fps=30 decoder_drop=0 vo_drop=106 cache=26.5667
pos=00:00:37 fps=30 decoder_drop=0 vo_drop=106 cache=26.5333
pos=00:00:37 fps=30 decoder_drop=0 vo_drop=107 cache=26.5
pos=00:00:37 fps=30 decoder_drop=0 vo_drop=108 cache=26.4667
pos=00:00:37 fps=30 decoder_drop=0 vo_drop=109 cache=26.4333
pos=00:00:37 fps=30 decoder_drop=0 vo_drop=109 cache=26.4
pos=00:00:37 fps=30 decoder_drop=0 vo_drop=109 cache=26.3667
pos=00:00:37 fps=30 decoder_drop=0 vo_drop=109 cache=26.3333
pos=00:00:37 fps=30 decoder_drop=0 vo_drop=110 cache=26.3
pos=00:00:37 fps=30 decoder_drop=0 vo_drop=110 cache=26.2667
pos=00:00:37 fps=30 decoder_drop=0 vo_drop=110 cache=26.2333
pos=00:00:37 fps=30 decoder_drop=0 vo_drop=111 cache=26.2
pos=00:00:37 fps=30 decoder_drop=0 vo_drop=111 cache=26.1667
pos=00:00:37 fps=30 decoder_drop=0 vo_drop=112 cache=26.7
pos=00:00:37 fps=30 decoder_drop=0 vo_drop=112 cache=27.1667
pos=00:00:37 fps=30 decoder_drop=0 vo_drop=112 cache=29.1667
pos=00:00:37 fps=30 decoder_drop=0 vo_drop=113 cache=30.0333
pos=00:00:37 fps=30 decoder_drop=0 vo_drop=113 cache=30
pos=00:00:37 fps=30 decoder_drop=0 vo_drop=114 cache=29.9667
pos=00:00:37 fps=30 decoder_drop=0 vo_drop=115 cache=29.9333
pos=00:00:38 fps=30 decoder_drop=0 vo_drop=116 cache=29.9
pos=00:00:38 fps=30 decoder_drop=0 vo_drop=116 cache=29.8667
pos=00:00:38 fps=30 decoder_drop=0 vo_drop=116 cache=29.8333
pos=00:00:38 fps=30 decoder_drop=0 vo_drop=117 cache=29.8
pos=00:00:38 fps=30 decoder_drop=0 vo_drop=118 cache=29.7667
pos=00:00:38 fps=30 decoder_drop=0 vo_drop=119 cache=29.7333
pos=00:00:38 fps=30 decoder_drop=0 vo_drop=120 cache=29.7
pos=00:00:38 fps=30 decoder_drop=0 vo_drop=121 cache=29.6667
pos=00:00:38 fps=30 decoder_drop=0 vo_drop=121 cache=29.6333
pos=00:00:38 fps=30 decoder_drop=0 vo_drop=121 cache=29.6
pos=00:00:38 fps=30 decoder_drop=0 vo_drop=122 cache=29.5667
pos=00:00:38 fps=30 decoder_drop=0 vo_drop=123 cache=29.5333
pos=00:00:38 fps=30 decoder_drop=0 vo_drop=124 cache=29.5
pos=00:00:38 fps=30 decoder_drop=0 vo_drop=125 cache=29.4667
pos=00:00:38 fps=30 decoder_drop=0 vo_drop=126 cache=29.4333
pos=00:00:38 fps=30 decoder_drop=0 vo_drop=126 cache=29.4
pos=00:00:38 fps=30 decoder_drop=0 vo_drop=126 cache=29.3667
pos=00:00:38 fps=30 decoder_drop=0 vo_drop=127 cache=29.3333
pos=00:00:38 fps=30 decoder_drop=0 vo_drop=127 cache=29.5333
pos=00:00:38 fps=30 decoder_drop=0 vo_drop=128 cache=30.6333
pos=00:00:38 fps=30 decoder_drop=0 vo_drop=128 cache=31.7667
pos=00:00:38 fps=30 decoder_drop=0 vo_drop=128 cache=32.9667
pos=00:00:38 fps=30 decoder_drop=0 vo_drop=129 cache=33.1667
pos=00:00:38 fps=30 decoder_drop=0 vo_drop=130 cache=33.1333
pos=00:00:38 fps=30 decoder_drop=0 vo_drop=131 cache=33.1
pos=00:00:38 fps=30 decoder_drop=0 vo_drop=131 cache=33.0667
pos=00:00:38 fps=30 decoder_drop=0 vo_drop=132 cache=33.0333
pos=00:00:38 fps=30 decoder_drop=0 vo_drop=132 cache=33
pos=00:00:38 fps=30 decoder_drop=0 vo_drop=133 cache=32.9667
pos=00:00:38 fps=30 decoder_drop=0 vo_drop=133 cache=32.9333
pos=00:00:39 fps=30 decoder_drop=0 vo_drop=134 cache=32.9
pos=00:00:39 fps=30 decoder_drop=0 vo_drop=135 cache=32.8667
pos=00:00:39 fps=30 decoder_drop=0 vo_drop=135 cache=32.8333
pos=00:00:39 fps=30 decoder_drop=0 vo_drop=136 cache=32.8
pos=00:00:39 fps=30 decoder_drop=0 vo_drop=137 cache=32.7667
pos=00:00:39 fps=30 decoder_drop=0 vo_drop=137 cache=32.7333
pos=00:00:39 fps=30 decoder_drop=0 vo_drop=138 cache=32.7
pos=00:00:39 fps=30 decoder_drop=0 vo_drop=139 cache=32.6667
pos=00:00:39 fps=30 decoder_drop=0 vo_drop=140 cache=32.6333
pos=00:00:39 fps=30 decoder_drop=0 vo_drop=140 cache=32.6
pos=00:00:39 fps=30 decoder_drop=0 vo_drop=141 cache=32.5667
pos=00:00:39 fps=30 decoder_drop=0 vo_drop=142 cache=32.5333
pos=00:00:39 fps=30 decoder_drop=0 vo_drop=143 cache=32.5
pos=00:00:39 fps=30 decoder_drop=0 vo_drop=143 cache=32.4667
pos=00:00:39 fps=30 decoder_drop=0 vo_drop=143 cache=32.4333
pos=00:00:39 fps=30 decoder_drop=0 vo_drop=143 cache=32.4
pos=00:00:39 fps=30 decoder_drop=0 vo_drop=144 cache=32.3667
pos=00:00:39 fps=30 decoder_drop=0 vo_drop=144 cache=32.3333
pos=00:00:39 fps=30 decoder_drop=0 vo_drop=144 cache=32.3
pos=00:00:39 fps=30 decoder_drop=0 vo_drop=144 cache=32.2667
pos=00:00:39 fps=30 decoder_drop=0 vo_drop=145 cache=32.2667
pos=00:00:39 fps=30 decoder_drop=0 vo_drop=145 cache=32.2333
pos=00:00:39 fps=30 decoder_drop=0 vo_drop=145 cache=32.5667
pos=00:00:39 fps=30 decoder_drop=0 vo_drop=146 cache=33.1667
pos=00:00:39 fps=30 decoder_drop=0 vo_drop=147 cache=33.3667
pos=00:00:39 fps=30 decoder_drop=0 vo_drop=147 cache=34.0667
pos=00:00:39 fps=30 decoder_drop=0 vo_drop=147 cache=36.0333
pos=00:00:39 fps=30 decoder_drop=0 vo_drop=148 cache=36
pos=00:00:39 fps=30 decoder_drop=0 vo_drop=149 cache=35.9667
pos=00:00:39 fps=30 decoder_drop=0 vo_drop=149 cache=35.9333
pos=00:00:40 fps=30 decoder_drop=0 vo_drop=150 cache=35.9
pos=00:00:40 fps=30 decoder_drop=0 vo_drop=150 cache=35.8667
pos=00:00:40 fps=30 decoder_drop=0 vo_drop=151 cache=35.8333
pos=00:00:40 fps=30 decoder_drop=0 vo_drop=152 cache=35.8
pos=00:00:40 fps=30 decoder_drop=0 vo_drop=152 cache=35.7667
pos=00:00:40 fps=30 decoder_drop=0 vo_drop=153 cache=35.7333
pos=00:00:40 fps=30 decoder_drop=0 vo_drop=153 cache=35.7
pos=00:00:40 fps=30 decoder_drop=0 vo_drop=154 cache=35.6667
